text,intent
"What is the deadline for filing my taxes this year?","tax_filing_dates"
"How can I claim tax deductions for education expenses?","tax_deductions"
"Where can I check the status of my tax refund?","tax_refund_status"
"Which forms do I need for filing personal income tax?","tax_forms"
"How do I apply for a tax extension?","tax_filing_dates"
"Can I deduct home office expenses on my taxes?","tax_deductions"
"How do I get a copy of my previous tax return?","tax_forms"
"What's the deadline for tax returns in the UK?","tax_filing_dates"
"Are there tax deductions for charitable donations?","tax_deductions"
"How do I update my address with the IRS?","tax_forms"
"What's the weather like today in New York?","current_weather"
"Will it rain tomorrow in San Francisco?","weather_forecast"
"What's the weather forecast for the weekend in Chicago?","weather_forecast"
"Will it snow this weekend in Denver?","weather_forecast"
"How hot will it be this afternoon in Los Angeles?","current_weather"
"Make an appointment for a car service next Monday.","appointment_scheduling"
"Reschedule my dentist appointment to next Friday.","appointment_rescheduling"
"Schedule a meeting with John at 3 PM tomorrow.","appointment_scheduling"
"Set a reminder for my doctor's appointment next Tuesday.","reminder_setting"
"Book a flight to London for August 25th.","flight_booking"
"Check the status of my flight to Tokyo.","flight_status"
"Find a flight from Miami to New York for July 15th.","flight_booking"
"Check if my flight to Paris is delayed.","flight_status"
"What time is my next meeting?","general_query"
"Find a nearby coffee shop.","location_query"
"How do I reset my password?","general_query"
"Where can I find a good place to eat nearby?","location_query"
"How do I apply for a tax extension?","tax_filing_dates"
"How do I treat a headache?","health_tips"
"What's the latest news on global warming?","news_inquiry"
"Give me some tips to stay healthy during flu season.","health_tips"
"How can I contact customer service for my bank?","general_query"
"What's the best way to prevent the flu?","health_tips"
"Find a pharmacy nearby.","location_query"
"Where can I get my car serviced?","location_query"
"What are the symptoms of the flu?","health_symptoms"
"How can I update my contact information with the IRS?","tax_forms"
"Can I deduct mortgage interest on my taxes?","tax_deductions"
"How do I file an amended tax return?","tax_filing_dates"
"What's the weather forecast for the next week?","weather_forecast"
"Book a hotel room in Seattle for next weekend.","travel_arrangement"
"Arrange transportation from the airport to the hotel in New York.","travel_arrangement"
"Find a nearby gym.","location_query"
"What are the best practices for healthy eating?","health_tips"
"How do I get a refund for a canceled flight?","flight_status"
"Make a reservation for dinner at an Italian restaurant.","restaurant_reservation"
"Check if there are any delays for my flight to San Francisco.","flight_status"
"Set a reminder to call my mom on her birthday.","reminder_setting"
"What are the latest updates on COVID-19?","news_inquiry"
"How do I access my medical records online?","health_query"
"Find me a restaurant for a vegan dinner.","restaurant_reservation"
"What are the common side effects of the flu vaccine?","health_query"
"How do I report a lost credit card?","general_query"
"Book a taxi to the airport.","travel_arrangement"
"Find a local dentist.","location_query"
"How do I fix a laptop that won't start?","laptop_troubleshooting"
"My laptop is running slow, what should I do?","laptop_troubleshooting"
"How do I upgrade the RAM on my laptop?","laptop_hardware"
"What's the best antivirus software for my laptop?","laptop_security"
"How do I connect my laptop to a printer?","laptop_peripherals"
"How do I reset my laptop to factory settings?","laptop_software"
"Why is my laptop overheating and how can I fix it?","laptop_troubleshooting"
"How do I back up my laptop data?","laptop_data_management"
"How can I improve the battery life of my laptop?","laptop_battery"
"How do I install a new operating system on my laptop?","laptop_software"
"Why does my laptop keep crashing?","laptop_troubleshooting"
"How do I remove a virus from my laptop?","laptop_security"
"How do I set up a new user account on my laptop?","laptop_software"
"How do I recover lost files on my laptop?","laptop_data_management"
"What should I do if my laptop screen is flickering?","laptop_display"
